Block Name,Date of Distribution,Qty Distributed,,,,Sum of Qty Distributed,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,05-11-2015,133,,,,Row Labels,Amla,Beohari,Bhainsdehi,Bhimpur,Bijadandi,Boriguma,Chotisarvan,Dabugam,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Jharigam,Mawai,Mohgaon,Multai,Nandahandi,Narayanganj,Peint,Pipalkhoont,Prabhat,Surgana,Tentulikhunti,Trimbak,Umerkote,Grand Total
Boriguma,15-12-2015,48,,,,21-12-2016,,,,,,,,,,,,,,,,,0,,,,,,,,,0
Ghatol,15-12-2015,86,,,,31-12-2016,,,,,,,,,,,,,,,,,,,,,215,,,,,215
Garhi,15-12-2015,172,,,,Grand Total,7383,3200,5758,8090,300,3007,1688,1019,2863,5088,2863,3846,2133,4876,4221,6002,1760,2434,7778,2843,6391,7562,1321,4288,1024,97738
Jaisinghnagar,15-12-2015,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,16-12-2015,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,15-12-2015,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,13-01-2016,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,29-12-2015,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,29-12-2015,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,13-01-2016,591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,13-01-2016,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,16-12-2015,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijadandi,12-01-2016,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,16-12-2015,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,15-12-2015,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,16-12-2015,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-12-2015,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,16-12-2015,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,16-12-2015,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,28-12-2015,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,17-12-2015,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,07-12-2015,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,17-12-2015,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,17-12-2015,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,17-12-2015,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,19-12-2015,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,17-12-2015,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,17-12-2015,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,18-12-2015,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,18-12-2015,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,16-12-2015,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,17-12-2015,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,18-12-2015,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,18-12-2015,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,18-12-2015,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,18-12-2015,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,18-12-2015,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,18-12-2015,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,18-12-2015,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,17-12-2015,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,18-12-2015,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,19-12-2015,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,19-12-2015,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,18-12-2015,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,18-12-2015,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,19-12-2015,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,19-12-2015,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,19-12-2015,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,14-12-2015,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,15-12-2015,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,16-12-2015,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,19-12-2015,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,17-12-2015,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,18-12-2015,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,19-12-2015,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,14-01-2016,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,16-12-2015,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,17-12-2015,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,18-12-2015,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,19-12-2015,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,18-12-2015,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,18-12-2015,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,11-12-2015,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,21-12-2015,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,21-12-2015,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,21-12-2015,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,21-12-2015,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,21-12-2015,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,21-12-2015,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,21-12-2015,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,16-12-2015,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,19-12-2015,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,21-12-2015,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,21-12-2015,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,21-12-2015,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,22-12-2015,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,14-01-2016,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,22-12-2015,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,22-12-2015,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,22-12-2015,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,22-12-2015,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,22-12-2015,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,22-12-2015,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,22-12-2015,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,19-12-2015,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,21-12-2015,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,22-12-2015,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,23-12-2015,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipalkhoont,22-12-2015,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,23-12-2015,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,21-12-2015,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,22-12-2015,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,23-12-2015,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,21-12-2015,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,22-12-2015,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,23-12-2015,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,14-01-2016,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,14-01-2016,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,21-12-2015,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,14-01-2016,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,23-12-2015,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,14-01-2016,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,14-01-2016,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,22-12-2015,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,28-12-2015,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,18-12-2015,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,18-12-2015,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,19-12-2015,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,12-01-2016,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,22-12-2015,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,17-12-2015,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,28-12-2015,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,28-12-2015,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,29-12-2015,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,28-12-2015,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,29-12-2015,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,29-12-2015,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,28-12-2015,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,29-12-2015,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,30-12-2015,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,30-12-2015,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,30-12-2015,530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,30-12-2015,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,30-12-2015,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,30-12-2015,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,29-12-2015,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,30-12-2015,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,12-01-2016,357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,13-01-2016,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,30-12-2015,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,31-12-2015,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,23-12-2015,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,28-12-2015,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,31-12-2015,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,31-12-2015,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,31-12-2015,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,31-12-2016,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,13-01-2016,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,31-12-2015,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,13-01-2016,465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,13-01-2016,557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,13-01-2016,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,01-01-2016,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,30-12-2015,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,01-01-2016,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,13-01-2016,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,01-01-2016,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,01-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,01-01-2016,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,01-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,02-01-2016,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,02-01-2016,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,02-01-2016,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,28-12-2015,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,29-12-2015,490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,30-12-2015,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,31-12-2015,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,01-01-2016,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,02-01-2016,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,17-12-2015,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,02-01-2016,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,02-01-2016,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,02-01-2016,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,22-12-2015,477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,24-12-2015,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,31-12-2015,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,02-01-2016,455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,14-12-2015,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,24-12-2015,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,30-12-2015,248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,02-01-2016,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,13-01-2016,401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhainsdehi,04-01-2016,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,01-01-2016,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,04-01-2016,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,04-01-2016,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Surgana,04-01-2016,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,05-01-2016,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,04-01-2016,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,05-01-2016,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,13-01-2016,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,13-01-2016,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,05-01-2016,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,05-01-2016,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,05-01-2016,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,04-01-2016,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,05-01-2016,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,06-01-2016,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,06-01-2016,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,05-01-2016,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garhi,13-01-2016,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Narayanganj,05-01-2016,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,06-01-2016,640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,06-01-2016,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhimpur,06-01-2016,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,19-12-2015,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,19-12-2015,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,21-12-2015,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,21-12-2015,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jharigam,22-12-2015,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umerkote,22-12-2015,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,07-01-2016,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,07-01-2016,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multai,07-01-2016,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,07-01-2016,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,07-01-2016,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,07-01-2016,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,07-01-2016,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beohari,08-01-2016,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,08-01-2016,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boriguma,08-01-2016,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amla,08-01-2016,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,07-01-2016,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mawai,08-01-2016,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dabugam,08-01-2016,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,08-01-2016,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,08-01-2016,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,07-01-2016,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,08-01-2016,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trimbak,08-01-2016,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peint,09-01-2016,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandahandi,09-01-2016,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentulikhunti,09-01-2016,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prabhat,09-01-2016,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
