Assembly Center,Assembly Date,BoxA,BoxB,Qty Assembled,Vendor,,,Sum of Qty Assembled,Column Labels,,,,,,,,,,,,,,,,,,
Beohari,05-12-2015,1,1,40,,,,Row Labels,Beohari,Betul,Boriguma,Chotisarvan,Garhi,Ghatol,Igatpuri,Jaisinghnagar,Mawai,Mohgaon,Multai,Nabrangpur,Narayanganj,Peint,Pipalkhoont,Surgana,Trimbak,Umerkote,Grand Total
Boriguma,12-12-2015,7,7,250,,,,11-01-2016,,1248,,,,,325,,,,1080,,,280,,160,400,400,3893
Boriguma,13-12-2015,11,11,260,,,,12-01-2016,,1362,,,,399,392,,,,1200,,,360,100,360,480,760,5413
Boriguma,14-12-2015,11,11,410,,,,13-01-2016,,1311,420,,80,240,381,,,,1250,280,600,,280,400,131,600,5973
Boriguma,15-12-2015,11,11,440,,,,14-01-2016,,1360,400,,280,360,,,,,777,360,760,320,100,160,,600,5477
Boriguma,16-12-2015,0,0,25,,,,15-01-2016,280,1280,440,,280,240,,530,,,649,680,,280,220,,,,4879
Boriguma,05-01-2016,7,7,260,,,,16-01-2016,260,1360,440,,148,120,,510,,,,600,640,,320,,,,4398
Boriguma,06-01-2016,9,9,380,,,,17-01-2016,160,,,,,540,,,,,,120,,,280,,,,1100
Boriguma,07-01-2016,12,12,460,,,,18-01-2016,100,1050,,,,278,,,,,0,,520,440,250,,,,2638
Boriguma,08-01-2016,12,12,460,,,,19-01-2016,40,0,,,20,,,880,,,,,,,220,,,,1160
Boriguma,09-01-2016,11,11,240,,,,Grand Total,3914,21402,4885,1698,3446,5153,4104,5116,4896,4319,20800,5385,5333,8307,3693,7792,4440,7819,122502
Boriguma,13-01-2016,11,11,420,S1,,,,,,,,,,,,,,,,,,,,,,
Boriguma,14-01-2016,10,10,400,S1,,,,,,,,,,,,,,,,,,,,,,
Boriguma,15-01-2016,11,11,440,S1,,,,,,,,,,,,,,,,,,,,,,
Boriguma,16-01-2016,11,11,440,S1,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,30-11-2015,5,5,102,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,01-12-2015,9,9,264,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,02-12-2015,10,10,347,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,03-12-2015,1,1,35,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,14-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,15-12-2015,5,5,186,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,17-12-2015,5,5,198,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,18-12-2015,1,1,38,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,19-12-2015,7,7,267,,,,,,,,,,,,,,,,,,,,,,,
Chotisarvan,20-12-2015,3,3,101,,,,,,,,,,,,,,,,,,,,,,,
Garhi,30-11-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Garhi,01-12-2015,11,11,435,,,,,,,,,,,,,,,,,,,,,,,
Garhi,02-12-2015,9,9,328,,,,,,,,,,,,,,,,,,,,,,,
Garhi,03-12-2015,3,3,120,,,,,,,,,,,,,,,,,,,,,,,
Garhi,07-12-2015,1,1,30,,,,,,,,,,,,,,,,,,,,,,,
Garhi,14-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Garhi,15-12-2015,6,6,219,,,,,,,,,,,,,,,,,,,,,,,
Garhi,16-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Garhi,17-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Garhi,18-12-2015,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Garhi,19-12-2015,6,6,226,,,,,,,,,,,,,,,,,,,,,,,
Garhi,13-01-2016,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Garhi,14-01-2016,7,7,280,G1,,,,,,,,,,,,,,,,,,,,,,
Garhi,15-01-2016,7,7,280,G1,,,,,,,,,,,,,,,,,,,,,,
Garhi,16-01-2016,4,4,148,G1,,,,,,,,,,,,,,,,,,,,,,
Garhi,19-01-2016,1,1,20,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,30-11-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,01-12-2015,10,10,399,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,02-12-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,03-12-2015,7,7,272,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,12-12-2015,6,6,237,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,14-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,15-12-2015,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,16-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,17-12-2015,3,3,120,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,18-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,19-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,21-12-2015,6,6,200,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,22-12-2015,0,0,28,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,12-01-2016,10,10,399,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,13-01-2016,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Ghatol,14-01-2016,10,10,360,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,15-01-2016,6,6,240,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,16-01-2016,3,3,120,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,17-01-2016,14,14,540,G1,,,,,,,,,,,,,,,,,,,,,,
Ghatol,18-01-2016,6,6,278,G1,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,07-12-2015,2,2,40,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,08-12-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,09-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,10-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,16-12-2015,22,22,400,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,17-12-2015,3,3,520,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,21-12-2015,2,2,80,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,03-01-2016,6,6,209,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,04-01-2016,7,7,251,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,05-01-2016,3,3,99,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,06-01-2016,11,11,414,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,07-01-2016,7,7,185,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,08-01-2016,9,9,288,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,11-01-2016,9,9,325,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,12-01-2016,10,10,392,,,,,,,,,,,,,,,,,,,,,,,
Igatpuri,13-01-2016,10,10,381,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-11-2015,1,1,40,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,05-12-2015,7,7,278,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,06-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,07-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,08-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,09-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,10-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,11-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,27-12-2015,11,11,440,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,28-12-2015,11,11,440,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,29-12-2015,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,30-12-2015,7,7,278,,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,15-01-2016,14,14,530,S1,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,16-01-2016,12,12,510,S1,,,,,,,,,,,,,,,,,,,,,,
Jaisinghnagar,19-01-2016,22,22,880,S1,,,,,,,,,,,,,,,,,,,,,,
Mawai,04-11-2015,4,4,154,,,,,,,,,,,,,,,,,,,,,,,
Mawai,06-11-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Mawai,08-11-2015,4,4,154,,,,,,,,,,,,,,,,,,,,,,,
Mawai,09-11-2015,20,20,781,,,,,,,,,,,,,,,,,,,,,,,
Mawai,10-11-2015,20,20,800,,,,,,,,,,,,,,,,,,,,,,,
Mawai,09-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mawai,10-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mawai,11-12-2015,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mawai,12-12-2015,11,11,416,,,,,,,,,,,,,,,,,,,,,,,
Mawai,01-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Mawai,02-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Mawai,03-01-2016,9,9,360,,,,,,,,,,,,,,,,,,,,,,,
Mawai,04-01-2016,8,8,311,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,20-09-2015,1,1,23,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,06-11-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,09-11-2015,13,13,520,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,14-11-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,15-11-2015,10,10,400,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,16-11-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,03-12-2015,2,2,57,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,10-12-2015,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,14-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,16-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,17-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,18-12-2015,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,19-12-2015,6,6,239,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,30-12-2015,6,6,240,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,31-12-2015,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,01-01-2016,4,4,160,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,02-01-2016,7,7,280,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,04-01-2016,8,8,320,,,,,,,,,,,,,,,,,,,,,,,
Mohgaon,05-01-2016,5,5,200,,,,,,,,,,,,,,,,,,,,,,,
Multai,24-11-2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Multai,25-11-2015,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Multai,03-12-2015,6,3,0,,,,,,,,,,,,,,,,,,,,,,,
Multai,04-12-2015,0,0,111,,,,,,,,,,,,,,,,,,,,,,,
Multai,05-12-2015,8,4,153,,,,,,,,,,,,,,,,,,,,,,,
Multai,08-12-2015,14,7,272,,,,,,,,,,,,,,,,,,,,,,,
Multai,16-12-2015,30,15,600,,,,,,,,,,,,,,,,,,,,,,,
Multai,17-12-2015,30,15,600,,,,,,,,,,,,,,,,,,,,,,,
Multai,18-12-2015,40,20,765,,,,,,,,,,,,,,,,,,,,,,,
Multai,19-12-2015,2,1,9,,,,,,,,,,,,,,,,,,,,,,,
Multai,23-12-2015,26,13,500,,,,,,,,,,,,,,,,,,,,,,,
Multai,24-12-2015,32,16,618,,,,,,,,,,,,,,,,,,,,,,,
Multai,25-12-2015,30,15,574,,,,,,,,,,,,,,,,,,,,,,,
Multai,26-12-2015,32,16,630,,,,,,,,,,,,,,,,,,,,,,,
Multai,27-12-2015,20,10,364,,,,,,,,,,,,,,,,,,,,,,,
